DATE,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close
2010-09-30,951.3304,2301947.8,0.1946666666666667,1141.199951171875
2010-10-31,960.3689999999999,2304649.0,0.1912903225806453,0.0
2010-11-30,970.89025,2318469.75,0.19433333333333339,1180.550048828125
2010-12-31,979.3902,2392691.8,0.183225806451613,1257.6400146484375
2011-01-31,978.9124999999999,2443221.5,0.16838709677419353,1286.1199951171875
2011-02-28,987.0875,2502997.25,0.15678571428571428,1327.219970703125
2011-03-31,1000.6948,2585821.0,0.13870967741935483,1325.8299560546875
2011-04-30,1009.366,2672712.75,0.098,0.0
2011-05-31,1016.6644999999999,2749065.0,0.09387096774193551,1345.199951171875
2011-06-30,1023.5265999999999,2829826.4,0.09200000000000003,1320.6400146484375
2011-07-31,1029.57025,2870763.5,0.0709677419354839,0.0
2011-08-31,1033.0404,2862173.0,0.09580645161290323,1218.8900146484375
2011-09-30,1038.7375000000002,2857717.0,0.08400000000000003,1131.4200439453125
2011-10-31,1042.12925,2854649.5,0.07064516129032261,1253.300048828125
2011-11-30,1055.2305999999999,2825922.2,0.08100000000000002,1246.9599609375
2011-12-31,1066.40575,2891339.75,0.07161290322580649,0.0
2012-01-31,1069.69075,2913951.5,0.08193548387096775,1312.4100341796875
2012-02-29,1080.1969999999997,2929930.0,0.10379310344827587,1365.6800537109375
2012-03-31,1095.16625,2887272.5,0.1267741935483871,0.0
2012-04-30,1099.97775,2868677.25,0.13933333333333334,1397.9100341796875
2012-05-31,1103.6686,2856312.6,0.1558064516129033,1310.3299560546875
2012-06-30,1108.5452500000001,2863870.5,0.16166666666666668,0.0
2012-07-31,1113.75575,2858675.25,0.15645161290322573,1379.3199462890625
2012-08-31,1115.8662,2835816.6,0.13225806451612895,1406.5799560546875
2012-09-30,1126.38875,2817912.0,0.1443333333333333,0.0
2012-10-31,1134.6226000000001,2826231.2,0.15838709677419355,1412.1600341796875
2012-11-30,1149.0194999999999,2857639.5,0.16066666666666674,1416.1800537109375
2012-12-31,1156.69525,2901149.5,0.164516129032258,1426.18994140625
2013-01-31,1160.0824,2966026.0,0.14258064516129038,1498.1099853515625
2013-02-28,1164.5845,3068737.5,0.14500000000000005,1514.6800537109375
2013-03-31,1174.35375,3170836.25,0.14354838709677417,0.0
2013-04-30,1178.421,3264238.0,0.14499999999999993,1597.5699462890625
2013-05-31,1185.0258000000001,3355983.8,0.10903225806451612,1630.739990234375
2013-06-30,1189.6932499999998,3440056.75,0.09366666666666666,0.0
2013-07-31,1196.5808,3536213.8,0.09258064516129032,1685.72998046875
2013-08-31,1198.7982499999998,3630451.5,0.08290322580645162,0.0
2013-09-30,1206.3274999999999,3693106.75,0.08000000000000003,1681.550048828125
2013-10-31,1213.4248,3800415.6,0.08709677419354842,1756.5400390625
2013-11-30,1220.8445,3897885.75,0.08433333333333333,0.0
2013-12-31,1230.286,3991804.5,0.08516129032258067,1848.3599853515625
2014-01-31,1231.6314,4064681.0,0.07161290322580648,1782.5899658203125
2014-02-28,1237.5345,4134488.75,0.06642857142857148,1859.449951171875
2014-03-31,1261.586,4200543.75,0.07806451612903229,1872.3399658203125
2014-04-30,1270.1276,4271396.8,0.09033333333333333,1883.949951171875
2014-05-31,1275.94825,4322501.5,0.08709677419354837,0.0
2014-06-30,1279.37525,4352084.25,0.0956666666666667,1960.22998046875
2014-07-31,1284.825,4395203.2,0.09096774193548385,1930.6700439453125
2014-08-31,1287.50325,4417173.5,0.08806451612903224,0.0
2014-09-30,1290.7725,4436408.25,0.08833333333333333,1972.2900390625
2014-10-31,1294.0368,4469678.6,0.0890322580645161,2018.050048828125
2014-11-30,1309.49225,4488542.5,0.09200000000000004,0.0
2014-12-31,1326.6982,4496884.8,0.12258064516129029,2058.89990234375
2015-01-31,1333.4470000000001,4507150.25,0.11483870967741938,0.0
2015-02-28,1341.2565,4496402.25,0.11071428571428575,0.0
2015-03-31,1354.764,4488338.25,0.11290322580645165,2067.889892578125
2015-04-30,1359.9261999999999,4482355.6,0.12466666666666662,2085.510009765625
2015-05-31,1364.5697499999999,4479564.0,0.12322580645161288,0.0
2015-06-30,1366.1580000000001,4479059.25,0.12899999999999995,2063.110107421875
2015-07-31,1369.7752,4488001.4,0.13032258064516125,2103.840087890625
2015-08-31,1375.0527499999998,4484473.0,0.13806451612903223,1972.1800537109375
2015-09-30,1383.8722000000002,4484700.6,0.13600000000000007,1920.030029296875
2015-10-31,1391.429,4495400.0,0.12354838709677417,0.0
2015-11-30,1402.991,4486380.75,0.11766666666666672,2080.409912109375
2015-12-31,1415.0438000000001,4486241.6,0.2406451612903227,2043.93994140625
2016-01-31,1417.3312500000002,4489872.5,0.3429032258064517,0.0
2016-02-29,1420.97625,4485799.5,0.37517241379310334,1932.22998046875
2016-03-31,1436.8766,4484319.6,0.3622580645161288,2059.739990234375
2016-04-30,1444.63825,4487148.5,0.36533333333333323,0.0
2016-05-31,1450.9975,4472633.25,0.3651612903225805,2096.949951171875
2016-06-30,1457.5058000000001,4469248.6,0.37766666666666676,2098.860107421875
2016-07-31,1463.6772500000002,4472069.5,0.3916129032258067,0.0
2016-08-31,1464.3406,4466789.0,0.3967741935483873,2170.949951171875
2016-09-30,1470.25,4466515.75,0.3963333333333335,2168.27001953125
2016-10-31,1475.81075,4459703.25,0.3964516129032259,2126.14990234375
2016-11-30,1488.5398,4454779.2,0.4066666666666668,2198.81005859375
2016-12-31,1499.35475,4460032.75,0.54,0.0
2017-01-31,1504.5787500000001,4454801.5,0.6496774193548387,2278.8701171875
2017-02-28,1504.65475,4458373.75,0.6567857142857143,2363.639892578125
2017-03-31,1527.1188,4467057.8,0.7861290322580645,2362.719970703125
2017-04-30,1539.4725,4477134.5,0.8959999999999998,0.0
2017-05-31,1548.1632,4468515.8,0.9074193548387096,2411.800048828125
2017-06-30,1555.20975,4469079.0,1.04,2423.409912109375
2017-07-31,1562.5925,4469040.25,1.1506451612903223,2470.300048828125
2017-08-31,1565.2882,4462999.4,1.157096774193548,2471.64990234375
2017-09-30,1578.2952500000001,4459721.25,1.1533333333333333,0.0
2017-10-31,1583.2642500000002,4462669.25,1.1538709677419354,2575.260009765625
2017-11-30,1592.1306,4450387.0,1.1569999999999998,2647.580078125
2017-12-31,1604.5445,4446506.0,1.3016129032258068,0.0
2018-01-31,1611.3406,4437893.4,1.414516129032259,2823.81005859375
2018-02-28,1616.28075,4415167.25,1.4175000000000009,2713.830078125
2018-03-31,1633.0377500000002,4399193.75,1.5061290322580647,0.0
2018-04-30,1639.95075,4382144.25,1.6923333333333344,2648.050048828125
2018-05-31,1650.8788,4343353.0,1.7000000000000008,2705.27001953125
2018-06-30,1661.27175,4316371.0,1.819666666666666,0.0
2018-07-31,1669.0567500000002,4287565.25,1.9099999999999984,2816.2900390625
2018-08-31,1671.6080000000002,4238067.8,1.91483870967742,2901.52001953125
2018-09-30,1685.51475,4205069.0,1.9546666666666674,0.0
2018-10-31,1690.1317999999999,4167971.4,2.187741935483871,2711.739990234375
2018-11-30,1701.6022500000001,4122799.0,2.197666666666668,2760.169921875
2018-12-31,1706.89225,4083567.0,2.2741935483870974,2506.85009765625
2019-01-31,1709.7257999999997,4050343.0,2.4000000000000004,2704.10009765625
2019-02-28,1707.7842500000002,4002697.75,2.3999999999999995,2784.489990234375
2019-03-31,1719.26225,3964764.5,2.4051612903225803,0.0
2019-04-30,1726.40875,3933098.25,2.4236666666666666,2945.830078125
2019-05-31,1732.2266,3871707.0,2.3909677419354844,2752.06005859375
2019-06-30,1737.76075,3842108.25,2.3776666666666677,0.0
2019-07-31,1746.8978,3803776.8,2.402903225806451,2980.3798828125
2019-08-31,1749.11525,3773093.25,2.125806451612903,0.0
2019-09-30,1762.6620000000003,3808397.75,2.0429999999999997,2976.739990234375
2019-10-31,1769.4848000000002,3970156.0,1.8296774193548386,3037.56005859375
2019-11-30,1785.601,4042612.25,1.5533333333333332,0.0
2019-12-31,1794.2597500000002,4115957.5,1.550967741935483,3230.780029296875
2020-01-31,1798.9843999999998,4159312.4,1.5506451612903218,3225.52001953125
2020-02-29,1795.9837499999999,4169900.75,1.5831034482758615,0.0
2020-03-31,1826.07575,4618977.0,0.652258064516129,2584.590087890625
2020-04-30,1887.3795999999998,6298340.0,0.04900000000000003,2912.429931640625
2020-05-31,1929.7285000000002,6947555.25,0.050000000000000024,0.0
2020-06-30,1955.37,7127786.25,0.0776666666666667,3100.2900390625
2020-07-31,1978.2678,6960429.4,0.09258064516129035,3271.1201171875
2020-08-31,2004.5235,6975892.25,0.09516129032258062,3500.31005859375
